code,city,country,lat,lon
ASK,YAMOUSSOUKRO,IVORY COAST,6.903,-5.366
ABV,ABUJA,NIGERIA,9.007,7.263
AKR,AKURE,NIGERIA,7.247,5.301
BNI,BENIN,NIGERIA,6.317,5.599
CBQ,CALABAR,NIGERIA,4.976,8.347
ENU,ENUGU,NIGERIA,6.474,7.562
QUS,GUSAU,NIGERIA,12.172,6.696
IBA,IBADAN,NIGERIA,7.362,3.978
ILR,ILORIN,NIGERIA,8.440,4.494
JOS,JOS,NIGERIA,9.640,8.869
KAD,KADUNA,NIGERIA,10.696,7.320
KAN,KANO,NIGERIA,12.047,8.524
MIU,MAIDUGURI,NIGERIA,11.855,13.081
MDI,MAKURDI,NIGERIA,7.704,8.614
LOS,LAGOS,NIGERIA,6.577,3.321
MXJ,MINNA,NIGERIA,9.652,6.462
PHC,PORT HARTCOURT,NIGERIA,5.015,6.949
SKO,SOKOTO,NIGERIA,12.916,5.207
YOL,YOLA,NIGERIA,9.260,12.430
ZAR,ZARIA,NIGERIA,11.130,7.686
MFG,MARADI,NIGER,13.502,7.127
NIM,NIAMEY,NIGER,13.481,2.184
THZ,TAHOUA,NIGER,14.876,5.265
AJY,AGADEZ,NIGER,16.965,7.997
N/A,DIRKOU,NIGER,18.969,12.869
N/A,DIFFA,NIGER,13.373,12.627
ZND,ZINDER,NIGER,13.779,8.984
N/A,TANOUT,NIGER,14.999,8.767
MIR,MONASTIR,TUNISIA,35.758,10.755
TUN,TUNIS,TUNISIA,36.851,10.227
N/A,BIZERTE,TUNISIA,37.245,9.791
N/A,REMADA,TUNISIA,32.306,10.382
GAF,GAFSA,TUNISIA,34.422,8.822
GAE,GABES,TUNISIA,33.877,10.103
N/A,BORDJ EL AMRI,TUNISIA,36.721,9.943
DJE,DJERBA,TUNISIA,33.875,10.775
EBM,EL BORMA,TUNISIA,31.704,9.254
SFA,SFAX,TUNISIA,34.718,10.691
TOE,TOZEUR,TUNISIA,33.940,8.111
LRL,NIATOUGOU,TOGO,9.767,1.091
LFW,LOME,TOGO,6.166,1.254
ANR,ANTWERP,BELGIUM,51.190,4.463
N/A,BEAUVECHAIN,BELGIUM,50.759,4.768
N/A,KLEINE BROGEL,BELGIUM,51.168,5.471
